emotion,keywords,source_type,tool_name,tool_description,ego_explanation,youtube_query,patristic_explanation,citation,priority
loneliness,low self-worth,psychology,self-esteem building,Challenge negative beliefs.,Self-concept drives isolation,self worth therapy,Correct image heals connection,Self-esteem CBT,1
overwhelm,too many tasks,psychology,task breakdown,Split large tasks into steps.,Mind overloaded by expectations,productivity task breakdown,Order restores clarity,Productivity research,1
overwhelm,time pressure,psychology,prioritization,Focus on essential tasks.,Ego wants to control everything,productivity priorities,Detachment from unnecessary care,Pozen,1
overwhelm,mental clutter,psychology,external system,Write tasks down.,Mind cannot process overload,get things done system,Clear mind aids watchfulness,GTD,1
overwhelm,control needs,spiritual,surrender practice,Let go of total control.,Attachment creates overload,letting go stress,Simplicity reduces passions,Spiritual coping,1
overwhelm,decision fatigue,psychology,decision simplification,Reduce choices.,Too many options stress mind,decision fatigue stress,Simplify life reduces turbulence,Productivity,2
sadness,loss withdrawal,psychology,behavioral activation,Engage in small meaningful tasks.,Withdrawal reinforces mood,depression activation,Action brings life back,BA therapy,1
sadness,negative thinking,psychology,cognitive reappraisal,Reinterpret situation meaning.,Mind amplifies loss perception,reframing sadness,Meaning found not imposed,Frankl,1
sadness,isolation,psychology,social contact,Reach out to trusted person.,Ego isolates to protect itself,connection depression,Loneliness broken by relationship,Sadness research,1
sadness,meaninglessness,existential,meaning reflection,Ask what gives value now.,Loss of purpose intensifies sadness,meaning in suffering,Lack of meaning causes distress,Existential paper,1
sadness,spiritual grief,spiritual,lament prayer,Express suffering openly.,Denial deepens grief,psalm lament,Grief opens deeper relation to God,Scripture,2
sadness,rumination,psychology,distraction strategy,Shift attention temporarily.,Overthinking deepens sadness,sadness rumination,Thought control is key skill,Sadness study,1
shame,self-criticism guilt,psychology,self-compassion,Practice kind inner voice.,Ego judges self harshly,self compassion therapy,Love heals shame,CFT research,1
shame,inner critic,psychology,cognitive restructuring,Challenge negative self-beliefs.,Internalized criticism creates shame,inner critic CBT,Logismoi produce shame,Gilbert,1
shame,identity defect,psychology,externalization,Separate self from thoughts.,Ego fuses identity with failure,shame externalization therapy,True self beyond passions,Shame study,1
shame,spiritual,spiritual,acceptance prayer,Offer self without judgment.,Shame tied to pride inversion,healing shame prayer,Humility restores dignity,Patristic,1
shame,self-criticism,psychology,compassion training,Develop warmth internally.,Harsh self-evaluation leads to suffering,compassion focused therapy,Compassion reduces shame,CFT research,1
spiritual_dryness,disconnection prayer,spiritual,acceptance endurance,Continue practice despite dryness.,Expectations block experience,spiritual dryness coping,Dryness part of growth,Study on dryness,1
spiritual_dryness,emotional emptiness,psychology,emotional awareness,Name internal state.,Avoidance of experience increases emptiness,emotional awareness CBT,Awareness restores inner clarity,CBT principle,2
spiritual_dryness,doubt,spiritual,faith persistence,Maintain discipline.,Attachment to feeling blocks faith,faith during dryness,Faith beyond emotion,Spiritual research,1
spiritual_dryness,loss of feeling,spiritual,spiritual reflection,Reflect on meaning of dryness.,Chasing feeling creates emptiness,spiritual dryness explanation,Dryness deepens faith,Spiritual study,1
